RA,DEC
7.25411,-1.22827
9.87718,-10.53852
10.45095,-9.28422
10.75264,-9.22954
11.37693,-0.79636
18.22965,-9.84463
23.36354,-8.40461
23.55325,-1.12486
23.76431,-0.90767
25.1233,0.30719
28.22414,-0.16821
43.1147,-7.93485
43.65829,0.93942
112.55994,39.53346
113.77191,41.97432
114.32992,29.49226
115.35771,48.154
115.96356,28.35778
118.29133,35.93253
118.77781,26.35443
120.30533,34.67524
120.86094,30.6236
122.34627,21.26286
123.84674,11.95421
124.01835,11.41373
124.05945,42.94935
124.70727,4.10876
124.8861,20.13023
125.10478,16.02312
125.11709,48.89648
126.51589,47.31953
126.87387,53.12595
126.89012,16.01493
127.36029,22.74342
127.91183,22.57306
127.99874,30.65849
128.10056,16.83033
130.41906,25.80779
130.4986,50.09767
133.33978,33.27499
134.33112,24.19517
135.07568,7.75987
135.68932,16.78623
136.43142,40.28468
138.67511,15.36551
140.204374,40.664684
142.3959,62.94984
142.74475,3.80771
143.27197,29.17087
145.50852,10.97176
145.8875,33.69954
146.56044,58.32712
148.86569,3.75467
151.21596,54.56788
151.98779,28.03
152.01723,50.44522
152.80994,19.24049
153.93943,31.25007
154.90808,0.33215
155.0359,17.80486
155.80934,48.52278
156.51597,39.09001
156.76598,38.33697
157.65067,35.91662
157.86085,11.88071
158.245359,56.748129
159.61256,41.8147
159.87683,39.78861
160.18896,39.91349
160.20826,56.25225
160.6391,36.66294
162.23037,31.32923
162.28031,55.22081
162.33807,-0.66806
162.94749,55.38566
163.24991,43.04861
163.43387,49.49889
163.45389,40.3961
163.93739,45.40042
164.26164,56.75087
164.69865,16.75725
166.39911,9.33234
167.58365,20.78264
167.65553,54.19327
168.04742,30.73122
168.40475,23.81294
169.79641,8.26107
170.23266,17.64834
170.96812,44.62656
171.01336,47.97082
171.23919,17.29576
171.51503,54.89145
172.55333,23.97283
173.49676,49.06206
175.54471,55.45824
175.55048,10.19973
175.93976,19.39263
177.78916,43.98852
178.34958,30.98469
178.7874,23.43987
179.37338,29.3856
179.56823,34.10164
179.90025,23.6632
180.0914,-2.03133
181.00616,20.23233
181.10539,3.75294
181.3429,5.16151
182.43179,-2.08323
182.79579,6.12894
182.80867,6.14275
182.83803,14.24423
183.38723,7.42138
183.83,47.3618
183.89242,13.94306
183.93261,17.1549
184.08316,15.90493
184.16719,3.70876
185.48403,2.0808
186.38375,19.43759
186.593748,64.10613
186.67017,43.08593
187.87054,49.26026
190.39979,16.34269
190.53078,50.36295
191.59371,7.89111
191.698040,54.887525
193.64557,-2.57012
194.97221,57.86381
195.51494,-0.83677
195.70296,47.91966
196.5802,11.22772
197.72269,-2.47822
198.87948,52.91043
199.05646,9.54353
200.07313,4.51039
200.76039,17.47583
201.90057,27.13804
202.65839,39.13763
206.37296,5.83138
206.9383,50.53432
208.0607,12.56717
208.25853,33.09126
208.79729,24.40435
208.97348,26.37165
209.23039,27.18895
210.80538,6.16896
212.31978,6.02763
212.90929,49.88444
213.18268,49.86848
213.61296,28.47518
214.22063,10.80739
215.52833,36.24303
216.3384,63.15591
216.56808,0.8376
216.59903,55.30137
216.70515,62.16832
217.13608,42.67239
217.94812,60.85263
218.24091,4.62087
219.16067,1.18302
219.86994,11.10384
223.06442,50.37363
223.98029,11.86153
225.29796,9.59667
225.45061,16.56269
226.03338,56.92927
226.21048,4.68191
227.48907,33.45417
227.49897,33.46281
229.43737,31.0044
229.69052,6.23226
230.18766,48.65637
230.34393,4.3417
230.36249,48.66205
230.64663,15.95213
230.86225,28.62544
231.25349,33.39996
231.34306,31.67698
231.81381,13.61417
231.90569,41.49643
232.44026,30.70994
232.91151,6.67932
233.06383,43.6457
234.08801,8.68672
234.88375,1.6196
235.47987,1.4215
236.7884,35.64616
238.09318,22.55332
238.29446,27.55619
238.508324,15.163027
239.339123,54.671096
242.068,37.62866
242.65739,53.40585
242.80883,26.92342
243.1779,29.90132
246.75175,27.92995
247.02585,8.76057
247.32777,13.64001
247.67976,16.65301
250.22459,32.79123
251.451913,39.540961
252.18783,25.68875
253.2708,40.1174
253.6064,41.68922
253.70185,26.31147
253.75083,39.14667
254.436577,21.936429
255.04677,32.58743
255.31497,24.10236
256.43337,58.50036
256.50922,20.29939
257.90822,58.05839
258.09647,64.03251
258.18318,62.04584
263.0989,55.41465
320.02084,-7.89725
325.66371,-8.07328
337.92997,-8.40881
356.76011,-1.05027
